N,kind,adjoint,peak_alloc_bytes,peak_alloc_mib,loss,status
50,geometric_euler,autograd,222164480,211.87255859375,-145.22500610351562,ok
50,cfees25,reversible,22823424,21.76611328125,-162.72116088867188,ok
200,geometric_euler,autograd,840553984,801.61474609375,-651.578369140625,ok
200,cfees25,reversible,24052736,22.9384765625,-454.0113220214844,ok
800,geometric_euler,autograd,3319953408,3166.154296875,-2823.7578125,ok
800,cfees25,reversible,29355520,27.99560546875,-2147.080322265625,ok
2000,geometric_euler,autograd,8277658112,7894.18994140625,-5835.6982421875,ok
2000,cfees25,reversible,42110976,40.16015625,-4596.78955078125,ok
5000,geometric_euler,autograd,20668782080,19711.28662109375,-15197.919921875,ok
